id,category,question,answer,keywords
1,museum_info,Когда основан музей?,Музей искусств открыт в 1920 году,"музей, история"
2,exhibit_info,Что такое 'Герника'?,"Антивоенная картина Пабло Пикассо, созданная в 1937 году","герника, кубизм"
3,tour_info,Сколько длится экскурсия?,Экскурсия длится 1-2 часа,"экскурсия, время"
4,hall_info,Сколько залов в музее?,"В музее 10 залов, охватывающих разные эпохи искусства","залы, музей"
5,exhibit_info,Что такое 'Звёздная ночь'?,"Картина Винсента ван Гога с вихреобразным небом, 1889 год","звёздная ночь, постимпрессионизм"
6,tour_info,Сколько длится экскурсия?,"Стандартная экскурсия длится 1,5-2 часа, но есть экспресс-туры на 45 минут и углублённые на 3 часа","экскурсия, время"
7,tour_info,Есть ли экскурсии на иностранных языках?,"Да, доступны экскурсии на английском, французском и испанском по предварительной записи","экскурсия, языки"
8,tour_info,Можно ли заказать индивидуальную экскурсию?,"Да, индивидуальные экскурсии доступны по запросу, стоимость зависит от продолжительности и языка","экскурсия, индивидуально"
9,exhibit_info,Что такое 'Герника'?,"Антивоенная картина Пабло Пикассо (1937) в стиле кубизма, созданная в ответ на бомбардировку города Герника","герника, кубизм"
10,exhibit_info,Что такое 'Звёздная ночь'?,"Картина Винсента ван Гога (1889) в стиле постимпрессионизма, изображающая ночное небо с вихрями звёзд","звёздная ночь, постимпрессионизм"
11,exhibit_info,Почему 'Олимпия' вызвала скандал?,Картина Эдуарда Мане (1863) шокировала публику откровенным изображением обнажённой женщины,"олимпия, классицизм"
12,exhibit_info,Что изображено на 'Свободе на баррикадах'?,Работа Эжена Делакруа (1830) символизирует революцию 1830 года во Франции,"свобода на баррикадах, романтизм"
13,exhibit_info,Что символизируют мягкие часы в 'Постоянстве памяти'?,В картине Сальвадора Дали (1931) мягкие часы отражают текучесть времени и сны,"постоянство памяти, сюрреализм"
14,exhibit_info,Какова идея 'Танца' Матисса?,Картина Анри Матисса (1910) передаёт радость движения и гармонию,"танец, постимпрессионизм"
15,hall_info,Чем отличается Зал Импрессионизма?,Зал Импрессионизма выделяется светлыми тонами и акцентом на мимолётных впечатлениях,"импрессионизм, зал"
16,hall_info,Что особенного в Зале Сюрреализма?,Зал Сюрреализма погружает в мир подсознания с необычными образами,"сюрреализм, зал"
